geoid,tract_code,tract_name,full_name,median_household_income,per_capita_income
06075010101,010101,101.01,Census Tract 101.01; San Francisco County; California,89022,76257
06075010102,010102,101.02,Census Tract 101.02; San Francisco County; California,102826,82551
06075010201,010201,102.01,Census Tract 102.01; San Francisco County; California,156017,115811
06075010202,010202,102.02,Census Tract 102.02; San Francisco County; California,176958,140102
06075010300,010300,103,Census Tract 103; San Francisco County; California,158144,93972
06075010401,010401,104.01,Census Tract 104.01; San Francisco County; California,181705,89037
06075010402,010402,104.02,Census Tract 104.02; San Francisco County; California,203354,188897
06075010500,010500,105,Census Tract 105; San Francisco County; California,179896,120092
06075010600,010600,106,Census Tract 106; San Francisco County; California,75938,69902
06075010701,010701,107.01,Census Tract 107.01; San Francisco County; California,24854,22777
06075010702,010702,107.02,Census Tract 107.02; San Francisco County; California,84904,98884
06075010800,010800,108,Census Tract 108; San Francisco County; California,123750,106709
06075010901,010901,109.01,Census Tract 109.01; San Francisco County; California,183468,133585
06075010902,010902,109.02,Census Tract 109.02; San Francisco County; California,155234,116522
06075011001,011001,110.01,Census Tract 110.01; San Francisco County; California,129423,107568
06075011002,011002,110.02,Census Tract 110.02; San Francisco County; California,157980,94193
06075011101,011101,111.01,Census Tract 111.01; San Francisco County; California,93056,81737
06075011102,011102,111.02,Census Tract 111.02; San Francisco County; California,104966,82923
06075011200,011200,112,Census Tract 112; San Francisco County; California,121855,116495
06075011300,011300,113,Census Tract 113; San Francisco County; California,32623,46635
06075011700,011700,117,Census Tract 117; San Francisco County; California,51464,75161
06075011800,011800,118,Census Tract 118; San Francisco County; California,43487,27412
06075011901,011901,119.01,Census Tract 119.01; San Francisco County; California,96518,89698
06075011902,011902,119.02,Census Tract 119.02; San Francisco County; California,75625,69771
06075012001,012001,120.01,Census Tract 120.01; San Francisco County; California,80300,62506
06075012002,012002,120.02,Census Tract 120.02; San Francisco County; California,72549,66651
06075012100,012100,121,Census Tract 121; San Francisco County; California,108000,80058
06075012202,012202,122.02,Census Tract 122.02; San Francisco County; California,57897,58408
06075012203,012203,122.03,Census Tract 122.03; San Francisco County; California,23440,25743
06075012204,012204,122.04,Census Tract 122.04; San Francisco County; California,64707,59270
06075012301,012301,123.01,Census Tract 123.01; San Francisco County; California,23385,25530
06075012302,012302,123.02,Census Tract 123.02; San Francisco County; California,44954,57448
06075012403,012403,124.03,Census Tract 124.03; San Francisco County; California,,33040
06075012404,012404,124.04,Census Tract 124.04; San Francisco County; California,,28460
06075012405,012405,124.05,Census Tract 124.05; San Francisco County; California,113665,110046
06075012406,012406,124.06,Census Tract 124.06; San Francisco County; California,,55305
06075012502,012502,125.02,Census Tract 125.02; San Francisco County; California,18217,21499
06075012503,012503,125.03,Census Tract 125.03; San Francisco County; California,50696,29369
06075012504,012504,125.04,Census Tract 125.04; San Francisco County; California,19333,25286
06075012601,012601,126.01,Census Tract 126.01; San Francisco County; California,171058,137199
06075012602,012602,126.02,Census Tract 126.02; San Francisco County; California,244000,149065
06075012700,012700,127,Census Tract 127; San Francisco County; California,234886,199303
06075012801,012801,128.01,Census Tract 128.01; San Francisco County; California,215568,176565
06075012802,012802,128.02,Census Tract 128.02; San Francisco County; California,250001,189482
06075012901,012901,129.01,Census Tract 129.01; San Francisco County; California,219125,146014
06075012902,012902,129.02,Census Tract 129.02; San Francisco County; California,189444,142574
06075013001,013001,130.01,Census Tract 130.01; San Francisco County; California,154659,150277
06075013002,013002,130.02,Census Tract 130.02; San Francisco County; California,244215,189622
06075013101,013101,131.01,Census Tract 131.01; San Francisco County; California,197014,144875
06075013102,013102,131.02,Census Tract 131.02; San Francisco County; California,250001,203354
06075013200,013200,132,Census Tract 132; San Francisco County; California,164375,196142
06075013300,013300,133,Census Tract 133; San Francisco County; California,176250,139420
06075013401,013401,134.01,Census Tract 134.01; San Francisco County; California,212593,146733
06075013402,013402,134.02,Census Tract 134.02; San Francisco County; California,175201,130753
06075013500,013500,135,Census Tract 135; San Francisco County; California,179194,147685
06075015100,015100,151,Census Tract 151; San Francisco County; California,159921,115706
06075015201,015201,152.01,Census Tract 152.01; San Francisco County; California,91420,91751
06075015202,015202,152.02,Census Tract 152.02; San Francisco County; California,156713,137381
06075015300,015300,153,Census Tract 153; San Francisco County; California,214688,136502
06075015401,015401,154.01,Census Tract 154.01; San Francisco County; California,165833,110192
06075015402,015402,154.02,Census Tract 154.02; San Francisco County; California,171960,170613
06075015500,015500,155,Census Tract 155; San Francisco County; California,95841,80875
06075015600,015600,156,Census Tract 156; San Francisco County; California,92963,63431
06075015701,015701,157.01,Census Tract 157.01; San Francisco County; California,182353,64134
06075015702,015702,157.02,Census Tract 157.02; San Francisco County; California,216071,122847
06075015801,015801,158.01,Census Tract 158.01; San Francisco County; California,121563,91578
06075015802,015802,158.02,Census Tract 158.02; San Francisco County; California,152917,117659
06075015900,015900,159,Census Tract 159; San Francisco County; California,83866,57167
06075016000,016000,160,Census Tract 160; San Francisco County; California,131771,103869
06075016101,016101,161.01,Census Tract 161.01; San Francisco County; California,31690,55475
06075016102,016102,161.02,Census Tract 161.02; San Francisco County; California,34575,20514
06075016200,016200,162,Census Tract 162; San Francisco County; California,102035,120303
06075016300,016300,163,Census Tract 163; San Francisco County; California,135658,94726
06075016400,016400,164,Census Tract 164; San Francisco County; California,161612,124738
06075016500,016500,165,Census Tract 165; San Francisco County; California,153096,95739
06075016601,016601,166.01,Census Tract 166.01; San Francisco County; California,134211,108190
06075016602,016602,166.02,Census Tract 166.02; San Francisco County; California,223877,162652
06075016700,016700,167,Census Tract 167; San Francisco County; California,239839,153082
06075016801,016801,168.01,Census Tract 168.01; San Francisco County; California,123147,103423
06075016802,016802,168.02,Census Tract 168.02; San Francisco County; California,135588,81265
06075016900,016900,169,Census Tract 169; San Francisco County; California,201827,129916
06075017000,017000,170,Census Tract 170; San Francisco County; California,229013,150549
06075017101,017101,171.01,Census Tract 171.01; San Francisco County; California,201944,128032
06075017102,017102,171.02,Census Tract 171.02; San Francisco County; California,173594,123727
06075017602,017602,176.02,Census Tract 176.02; San Francisco County; California,,52958
06075017603,017603,176.03,Census Tract 176.03; San Francisco County; California,124291,74433
06075017604,017604,176.04,Census Tract 176.04; San Francisco County; California,101761,80565
06075017700,017700,177,Census Tract 177; San Francisco County; California,124679,89143
06075017801,017801,178.01,Census Tract 178.01; San Francisco County; California,28408,66017
06075017803,017803,178.03,Census Tract 178.03; San Francisco County; California,85909,91779
06075017804,017804,178.04,Census Tract 178.04; San Francisco County; California,134264,91210
06075017903,017903,179.03,Census Tract 179.03; San Francisco County; California,93269,47730
06075018000,018000,180,Census Tract 180; San Francisco County; California,212439,132913
06075020101,020101,201.01,Census Tract 201.01; San Francisco County; California,135759,85528
06075020102,020102,201.02,Census Tract 201.02; San Francisco County; California,100761,55597
06075020201,020201,202.01,Census Tract 202.01; San Francisco County; California,94265,97464
06075020202,020202,202.02,Census Tract 202.02; San Francisco County; California,166985,111229
06075020300,020300,203,Census Tract 203; San Francisco County; California,182547,139953
06075020401,020401,204.01,Census Tract 204.01; San Francisco County; California,196667,134470
06075020402,020402,204.02,Census Tract 204.02; San Francisco County; California,152097,124714
06075020500,020500,205,Census Tract 205; San Francisco County; California,250001,169712
06075020601,020601,206.01,Census Tract 206.01; San Francisco County; California,235568,135020
06075020602,020602,206.02,Census Tract 206.02; San Francisco County; California,207958,145082
06075020701,020701,207.01,Census Tract 207.01; San Francisco County; California,223707,127625
06075020702,020702,207.02,Census Tract 207.02; San Francisco County; California,160179,128822
06075020801,020801,208.01,Census Tract 208.01; San Francisco County; California,133953,68552
06075020802,020802,208.02,Census Tract 208.02; San Francisco County; California,119667,74717
06075020900,020900,209,Census Tract 209; San Francisco County; California,96250,67562
06075021000,021000,210,Census Tract 210; San Francisco County; California,178558,147483
06075021100,021100,211,Census Tract 211; San Francisco County; California,250001,172254
06075021200,021200,212,Census Tract 212; San Francisco County; California,201786,149875
06075021300,021300,213,Census Tract 213; San Francisco County; California,208641,158128
06075021400,021400,214,Census Tract 214; San Francisco County; California,213462,138039
06075021500,021500,215,Census Tract 215; San Francisco County; California,178488,124505
06075021600,021600,216,Census Tract 216; San Francisco County; California,237083,151096
06075021700,021700,217,Census Tract 217; San Francisco County; California,133300,92086
06075021800,021800,218,Census Tract 218; San Francisco County; California,250001,138963
06075022600,022600,226,Census Tract 226; San Francisco County; California,232036,157094
06075022702,022702,227.02,Census Tract 227.02; San Francisco County; California,250001,126050
06075022704,022704,227.04,Census Tract 227.04; San Francisco County; California,250001,150852
06075022801,022801,228.01,Census Tract 228.01; San Francisco County; California,160417,97643
06075022802,022802,228.02,Census Tract 228.02; San Francisco County; California,107083,89393
06075022803,022803,228.03,Census Tract 228.03; San Francisco County; California,164665,81868
06075022901,022901,229.01,Census Tract 229.01; San Francisco County; California,101617,54394
06075022902,022902,229.02,Census Tract 229.02; San Francisco County; California,205583,102181
06075022903,022903,229.03,Census Tract 229.03; San Francisco County; California,189875,85025
06075023001,023001,230.01,Census Tract 230.01; San Francisco County; California,129866,41381
06075023003,023003,230.03,Census Tract 230.03; San Francisco County; California,102137,58450
06075023102,023102,231.02,Census Tract 231.02; San Francisco County; California,43882,37668
06075023103,023103,231.03,Census Tract 231.03; San Francisco County; California,30486,15562
06075023200,023200,232,Census Tract 232; San Francisco County; California,82019,40065
06075023300,023300,233,Census Tract 233; San Francisco County; California,89531,44303
06075023400,023400,234,Census Tract 234; San Francisco County; California,62647,32175
06075025100,025100,251,Census Tract 251; San Francisco County; California,165759,95857
06075025200,025200,252,Census Tract 252; San Francisco County; California,197853,130321
06075025300,025300,253,Census Tract 253; San Francisco County; California,181578,113025
06075025401,025401,254.01,Census Tract 254.01; San Francisco County; California,204844,92771
06075025402,025402,254.02,Census Tract 254.02; San Francisco County; California,190625,88214
06075025403,025403,254.03,Census Tract 254.03; San Francisco County; California,147083,71143
06075025501,025501,255.01,Census Tract 255.01; San Francisco County; California,113920,50092
06075025502,025502,255.02,Census Tract 255.02; San Francisco County; California,180341,73398
06075025600,025600,256,Census Tract 256; San Francisco County; California,144100,53595
06075025701,025701,257.01,Census Tract 257.01; San Francisco County; California,130538,55189
06075025702,025702,257.02,Census Tract 257.02; San Francisco County; California,125473,40027
06075025800,025800,258,Census Tract 258; San Francisco County; California,82188,49021
06075025900,025900,259,Census Tract 259; San Francisco County; California,175524,76408
06075026001,026001,260.01,Census Tract 260.01; San Francisco County; California,120650,51192
06075026002,026002,260.02,Census Tract 260.02; San Francisco County; California,127768,53596
06075026003,026003,260.03,Census Tract 260.03; San Francisco County; California,105250,46008
06075026004,026004,260.04,Census Tract 260.04; San Francisco County; California,146136,63036
06075026100,026100,261,Census Tract 261; San Francisco County; California,122222,51736
06075026201,026201,262.01,Census Tract 262.01; San Francisco County; California,160417,49168
06075026202,026202,262.02,Census Tract 262.02; San Francisco County; California,148429,44938
06075026301,026301,263.01,Census Tract 263.01; San Francisco County; California,115125,38252
06075026302,026302,263.02,Census Tract 263.02; San Francisco County; California,92031,48520
06075026303,026303,263.03,Census Tract 263.03; San Francisco County; California,96146,40510
06075026401,026401,264.01,Census Tract 264.01; San Francisco County; California,82045,39784
06075026402,026402,264.02,Census Tract 264.02; San Francisco County; California,151250,52259
06075026403,026403,264.03,Census Tract 264.03; San Francisco County; California,75156,37636
06075026404,026404,264.04,Census Tract 264.04; San Francisco County; California,84415,30030
06075030101,030101,301.01,Census Tract 301.01; San Francisco County; California,156156,93909
06075030102,030102,301.02,Census Tract 301.02; San Francisco County; California,208712,103172
06075030201,030201,302.01,Census Tract 302.01; San Francisco County; California,109659,77387
06075030202,030202,302.02,Census Tract 302.02; San Francisco County; California,122697,96793
06075030301,030301,303.01,Census Tract 303.01; San Francisco County; California,199167,96449
06075030302,030302,303.02,Census Tract 303.02; San Francisco County; California,216188,108584
06075030400,030400,304,Census Tract 304; San Francisco County; California,137448,116278
06075030500,030500,305,Census Tract 305; San Francisco County; California,177361,75764
06075030600,030600,306,Census Tract 306; San Francisco County; California,247500,147890
06075030700,030700,307,Census Tract 307; San Francisco County; California,185104,111125
06075030800,030800,308,Census Tract 308; San Francisco County; California,186667,133492
06075030900,030900,309,Census Tract 309; San Francisco County; California,235109,101826
06075031000,031000,310,Census Tract 310; San Francisco County; California,206130,101409
06075031100,031100,311,Census Tract 311; San Francisco County; California,200545,97020
06075031201,031201,312.01,Census Tract 312.01; San Francisco County; California,120962,55262
06075031202,031202,312.02,Census Tract 312.02; San Francisco County; California,181875,57503
06075031301,031301,313.01,Census Tract 313.01; San Francisco County; California,147938,68034
06075031302,031302,313.02,Census Tract 313.02; San Francisco County; California,138000,62120
06075031401,031401,314.01,Census Tract 314.01; San Francisco County; California,99500,36001
06075031402,031402,314.02,Census Tract 314.02; San Francisco County; California,155568,49056
06075032601,032601,326.01,Census Tract 326.01; San Francisco County; California,154444,79350
06075032602,032602,326.02,Census Tract 326.02; San Francisco County; California,163796,81723
06075032700,032700,327,Census Tract 327; San Francisco County; California,128244,76733
06075032801,032801,328.01,Census Tract 328.01; San Francisco County; California,154257,55201
06075032802,032802,328.02,Census Tract 328.02; San Francisco County; California,105195,66025
06075032901,032901,329.01,Census Tract 329.01; San Francisco County; California,176000,59976
06075032902,032902,329.02,Census Tract 329.02; San Francisco County; California,126471,62107
06075033001,033001,330.01,Census Tract 330.01; San Francisco County; California,183021,77695
06075033002,033002,330.02,Census Tract 330.02; San Francisco County; California,181000,97178
06075033100,033100,331,Census Tract 331; San Francisco County; California,176806,77152
06075033201,033201,332.01,Census Tract 332.01; San Francisco County; California,,22797
06075033203,033203,332.03,Census Tract 332.03; San Francisco County; California,76923,70523
06075033204,033204,332.04,Census Tract 332.04; San Francisco County; California,58114,43106
06075035101,035101,351.01,Census Tract 351.01; San Francisco County; California,136176,74029
06075035102,035102,351.02,Census Tract 351.02; San Francisco County; California,167279,70396
06075035201,035201,352.01,Census Tract 352.01; San Francisco County; California,136295,67345
06075035202,035202,352.02,Census Tract 352.02; San Francisco County; California,104877,62009
06075035300,035300,353,Census Tract 353; San Francisco County; California,161074,69578
06075035400,035400,354,Census Tract 354; San Francisco County; California,149794,63212
06075040100,040100,401,Census Tract 401; San Francisco County; California,175144,120888
06075040200,040200,402,Census Tract 402; San Francisco County; California,187679,138550
06075042601,042601,426.01,Census Tract 426.01; San Francisco County; California,138646,73118
06075042602,042602,426.02,Census Tract 426.02; San Francisco County; California,156726,92979
06075042700,042700,427,Census Tract 427; San Francisco County; California,102584,72141
06075042800,042800,428,Census Tract 428; San Francisco County; California,250001,201714
06075045100,045100,451,Census Tract 451; San Francisco County; California,211111,103556
06075045201,045201,452.01,Census Tract 452.01; San Francisco County; California,166944,104437
06075045202,045202,452.02,Census Tract 452.02; San Francisco County; California,133977,93605
06075047600,047600,476,Census Tract 476; San Francisco County; California,180000,98218
06075047701,047701,477.01,Census Tract 477.01; San Francisco County; California,121923,85036
06075047702,047702,477.02,Census Tract 477.02; San Francisco County; California,112500,74662
06075047801,047801,478.01,Census Tract 478.01; San Francisco County; California,172375,93671
06075047802,047802,478.02,Census Tract 478.02; San Francisco County; California,129415,85663
06075047902,047902,479.02,Census Tract 479.02; San Francisco County; California,125750,80651
06075047903,047903,479.03,Census Tract 479.03; San Francisco County; California,144766,86153
06075047904,047904,479.04,Census Tract 479.04; San Francisco County; California,105577,79880
06075060100,060100,601,Census Tract 601; San Francisco County; California,219750,99785
06075060400,060400,604,Census Tract 604; San Francisco County; California,77045,70775
06075060502,060502,605.02,Census Tract 605.02; San Francisco County; California,39559,28173
06075060701,060701,607.01,Census Tract 607.01; San Francisco County; California,231225,131867
06075060702,060702,607.02,Census Tract 607.02; San Francisco County; California,147903,100017
06075060703,060703,607.03,Census Tract 607.03; San Francisco County; California,179727,104261
06075061000,061000,610,Census Tract 610; San Francisco County; California,155968,74580
06075061101,061101,611.01,Census Tract 611.01; San Francisco County; California,24167,37469
06075061102,061102,611.02,Census Tract 611.02; San Francisco County; California,28958,31310
06075061200,061200,612,Census Tract 612; San Francisco County; California,128380,56996
06075061401,061401,614.01,Census Tract 614.01; San Francisco County; California,148598,102921
06075061402,061402,614.02,Census Tract 614.02; San Francisco County; California,226290,131985
06075061501,061501,615.01,Census Tract 615.01; San Francisco County; California,229363,250455
06075061502,061502,615.02,Census Tract 615.02; San Francisco County; California,122422,119254
06075061503,061503,615.03,Census Tract 615.03; San Francisco County; California,188441,133111
06075061504,061504,615.04,Census Tract 615.04; San Francisco County; California,231414,196008
06075061505,061505,615.05,Census Tract 615.05; San Francisco County; California,250001,219883
06075061506,061506,615.06,Census Tract 615.06; San Francisco County; California,250001,228264
06075061507,061507,615.07,Census Tract 615.07; San Francisco County; California,118661,110876
06075061508,061508,615.08,Census Tract 615.08; San Francisco County; California,157314,143873
06075980200,980200,9802,Census Tract 9802; San Francisco County; California,,22615
06075980300,980300,9803,Census Tract 9803; San Francisco County; California,107188,108212
06075980401,980401,9804.01,Census Tract 9804.01; San Francisco County; California,,
06075980501,980501,9805.01,Census Tract 9805.01; San Francisco County; California,12908,12575
06075980600,980600,9806,Census Tract 9806; San Francisco County; California,154375,94939
06075980900,980900,9809,Census Tract 9809; San Francisco County; California,,77738
06075990100,990100,9901,Census Tract 9901; San Francisco County; California,,
06075990200,990200,9902,Census Tract 9902; San Francisco County; California,,
